"stage","Organization","Metric","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027"
6.1,"Air Force","Amount_OMB23_GDP21",,,,,,,,,,,,30279998.5166004,,,,,,,,,,,,,,,,,,
6.2,"Air Force","Amount_OMB23_GDP21",133650468.108132,141654751.801262,154766106.625717,165770550.844946,202665357.991858,191768604.007163,179392668.86082,179153123.187826,191357340.233584,218355380.684166,217975579.844574,256968177.447356,256946876.263478,231489908.359006,237082303.041489,220386113.422155,189714796.271398,139086335.869085,169204472.728527,158407519.941389,169921167.661179,179611134.667613,202015895.978208,188291000,200724932.167864,140791245.628855,138143398.9415,139603788.003684,139562952.869605,139660806.417785
6.3,"Air Force","Amount_OMB23_GDP21",100963865.443434,109308912.579477,111395563.540093,139615325.592169,150393681.907133,142632582.655119,101678829.001011,80601362.5706966,106748374.621854,117382805.929485,107215531.091964,132664174.456715,184450409.753289,136791632.9355,96325698.016857,117996164.876291,114272917.359289,68950354.8254701,132826663.831725,62296769.9769502,79750520.5587456,77429498.0820816,80106159.5108864,40152000,47062157.5008537,45573491.2328674,58200047.3633991,72108600.3096481,72121091.7910516,72138392.2242377
6.4,"Air Force","Amount_OMB23_GDP21",,,,,,,,,,,,,,,,93732992.7173425,54040515.9377254,89102654.4580523,245625581.503903,313570109.883979,602583407.049317,728970166.699652,664942604.316986,642581000,555581880.455827,328839894.771457,688683134.304894,816745790.030273,816271992.679249,814220533.726212
6.5,"Air Force","Amount_OMB23_GDP21",304381856.15697,216009679.792629,101996970.440942,235510081.577769,627065686.125099,633997356.420338,590156849.48784,773002805.455687,740964872.345827,561322927.040542,697742994.250292,633028120.901389,537233140.133501,241653091.14922,114829226.709704,193522075.996369,83294360.0953079,111194137.211525,67752362.2259337,57015384.6077043,,,,,,,,,,
6.7,"Air Force","Amount_OMB23_GDP21",149171219.102494,147165290.825398,232964673.110054,231062031.161935,241074003.455483,249598781.117188,237203145.578316,191356209.154891,191015791.322282,194007006.150286,194335657.078829,179648559.037299,177494134.861862,135799842.947111,194557806.034048,130785082.645863,96959858.3461658,103906809.484799,115375956.236622,115593409.95723,112603011.977114,110653662.329858,111307194.053808,121206000,110138488.324629,107940543.871011,3337640.38353207,15408299.7736711,11401652.9565744,77124057.3679235
6.1,"Army","Amount_OMB23_GDP21",3641241.26340445,3219605.34686261,3724766.097064,3701592.53591714,3630161.81548031,3494569.19804152,2625401.54773437,2752880.16950261,2602029.1105344,2446505.59828397,2677998.30169805,4049362.15923892,3982765.81147235,3943601.99659056,4552276.00079665,4427020.7066238,4709510.87144555,4521663.86487093,4541129.89184032,4538759.99832066,3669103.67047625,3711354.66475827,,22353000,19622478.2897684,20320385.9670513,20159493.3871034,21645840.0944324,21181462.7843331,20719514.6002073
6.2,"Army","Amount_OMB23_GDP21",4268326.19614676,4826254.63601688,4989926.02190249,5282855.36679437,5134128.12408711,5201019.34763866,5088896.35461962,5268256.95183244,5213183.57366086,5404126.67407361,5085132.70194288,5201939.02117446,5089692.54926576,6248748.0859955,6336213.60110884,5925098.99514935,7490364.90982292,8737719.46655127,9190883.34467657,10366989.9961642,,,3599527.22596229,2939000,2978207.92436387,3174421.05296573,3222173.11883346,3181510.43611379,3112232.52040569,3044381.89364993
6.3,"Army","Amount_OMB23_GDP21",9516372.8724558,9918970.24344403,10387224.3160798,9938296.78838272,14734446.3940271,9118260.91690702,9284514.13903723,9274777.15930951,9589441.95245043,10210895.0605413,12983082.8420537,13846879.2113896,20816975.1647771,12450380.2580532,9415354.60164769,10103769.0805575,9004136.26135899,8894985.0326457,8746413.46754014,5185129.9980815,,,2882085.10136929,4862000,3643521.87103384,1894982.45633982,1976581.36578554,1967641.83895037,1924796.11262014,1883359.92357583
6.4,"Army","Amount_OMB23_GDP21",,,,,,,,4366823.64142668,,,,,,,,,,,,,,,,,,,,,,
6.7,"Army","Amount_OMB23_GDP21",4397572.70900204,10316296.6623517,5775462.74315701,8472334.37225696,21295868.0345175,9684212.05804125,7376526.94299635,9604043.21879904,2583778.40535029,1060279.25358497,565014.74466032,400149.155474958,924850.553254403,810393.719729483,924320.000161756,915935.31861182,347606.754797171,55433323.651723,54850464.6882133,121956829.954876,178682045.173518,205967617.230434,212435742.113928,232239000,247618619.613553,212171087.741632,186693292.38749,118914625.872559,96820465.5166321,59406333.9801455
6.5,"Navy","Amount_OMB23_GDP21",309772042.755966,226228814.680809,98696132.4356558,244774544.773448,572484571.328719,897189903.46298,834743900.040016,830076235.956298,700569683.864622,854629285.057415,699467382.840904,548118899.754503,541846793.648357,308400468.219318,237994115.95204,212436634.17946,117550580.202273,139513943.749984,98660041.6235244,73784615.3438997,43970632.165995,47794163.5284714,27770860.6081727,16543000,9657046.21303797,8559035.08862025,7599018.88465296,7703259.95384642,7782757.68739214,8248963.13880973
6.7,"Navy","Amount_OMB23_GDP21",56386583.5960501,67331061.0834579,55325766.3364974,55348691.3046543,50562757.5046511,40669678.8382158,66330121.0807977,68054166.5824441,85808297.6666863,72761029.6389588,68974695.8465267,71042431.9649682,76892822.59515,59084533.9758003,70101584.2122678,58771377.0545587,66202267.1071774,66042614.8906605,81812384.2925618,97340269.9639841,97538693.218516,107058549.303866,98858187.5742828,106239000,127826892.30877,117774368.43345,108913815.533662,100259850.554568,98962900.2670429,98483284.0000646
6.1,"Air Force","Amount_Then_Year",,,,,,,,,,,,24669000,,,,,,,,,,,,,,,,,,
6.2,"Air Force","Amount_Then_Year",83760000,89843000,100677000,110705000,137449000,133843000,128528000,132760000,146789000,172167000,177848000,209351000,213092000,196528000,205195000,193453000,169190000,124701000,152656000,145328000,159450000,171512000,196823000,188291000,210888000,151417000,151941000,156870000,160315000,163957000
6.3,"Air Force","Amount_Then_Year",63275000,69328000,72464000,93238000,101998000,99549000,72849000,59729000,81886000,92553000,87478000,108081000,152969000,116132000,83370000,103576000,101910000,61819000,119836000,57153000,74836000,73938000,78047000,40152000,49445000,49013000,64013000,81027000,82845000,84688000
6.4,"Air Force","Amount_Then_Year",,,,,,,,,,,,,,,,82278000,48194000,79887000,221603000,287679000,565450000,696099000,647850000,642581000,583712000,353658000,757468000,917761000,937646000,955867000
6.5,"Air Force","Amount_Then_Year",190758959.789656,137001811.904175,66350115.13158,157278500,425280138.382957,442492182.777728,422824856.961249,572827593.65967,568389446.22665,442587144.30112,569294028.853641,515725610.288755,445539895.102434,205156237.84222,99384824.900129,169871983.249749,74282939.767992,99693618.4836,61126070.967144,52307692.32,,,,,,,,,,
6.7,"Air Force","Amount_Then_Year",93487000,93338000,151546000,154308000,163498000,174205000,169947000,141803000,146527000,152969000,158560000,146359000,147200000,115290000,168390000,114802000,86470000,93160000,104092000,106049000,105664000,105664000,108446000,121206000,115715000,116087000,3671000,17314000,13097000,90541000
6.1,"Army","Amount_Then_Year",2282000,2042000,2423000,2472000,2462000,2439000,1881000,2040000,1996000,1929000,2185000,3299000,3303000,3348000,3940000,3886000,4200000,4054000,4097000,4164000,3443000,3544000,,22353000,20616000,21854000,22173000,24323000,24331000,24324000
6.2,"Army","Amount_Then_Year",2675000,3061000,3246000,3528000,3482000,3630000,3646000,3904000,3999000,4261000,4149000,4238000,4221000,5305000,5484000,5201000,6680000,7834000,8292000,9511000,,,3507000,2939000,3129000,3414000,3544000,3575000,3575000,3574000
6.3,"Army","Amount_Then_Year",5964000,6291000,6757000,6637000,9993000,6364000,6652000,6873000,7356000,8051000,10593000,11281000,17264000,10570000,8149000,8869000,8030000,7975000,7891000,4757000,,,2808000,4862000,3828000,2038000,2174000,2211000,2211000,2211000
6.4,"Army","Amount_Then_Year",,,,,,,,3236000,,,,,,,,,,,,,,,,,,,,,,
6.7,"Army","Amount_Then_Year",2756000,6543000,3757000,5658000,14443000,6759000,5285000,7117000,1982000,836000,461000,326000,767000,688000,8e+05,804000,310000,49700000,49486000,111887000,167671000,196680000,206975000,232239000,260156000,228184000,205340000,133622000,111217000,69741000
6.5,"Navy","Amount_Then_Year",194137040.210344,143483188.095825,64202884.86842,163465500,388262861.617043,626184817.222272,598062143.038751,615121406.34033,537402553.77335,673850855.69888,570700971.146359,446550389.711245,449366104.897566,261822762.15778,205984175.099871,186475016.750251,104833060.232008,125084381.5164,89010929.032856,67692307.68,41261000,45639000,27057000,16543000,10146000,9205000,8358000,8656000,8940000,9684000
6.7,"Navy","Amount_Then_Year",35338000,42704000,35990000,36963000,34292000,28385000,47523000,50431000,65823000,57370000,56277000,57878000,63769000,50161000,60673000,51589000,59040000,59212000,73811000,89303000,91528000,102231000,96317000,106239000,134299000,126663000,119792000,112660000,113678000,115616000
