"","year","aircraft","amount"
"1",1950,"C-121_1","10"
"2",1951,"C-121_1","10"
"3",1952,"C-121_1","10"
"4",1953,"C-121_1","10"
"5",1954,"C-121_1","10"
"6",1955,"C-121_1","11"
"7",1956,"C-121_1","47"
"8",1957,"C-121_1","44"
"9",1958,"C-121_1","44"
"10",1959,"C-121_1","73"
"11",1960,"C-121_1","73"
"12",1961,"C-121_1","73"
"13",1962,"C-121_1","73"
"14",1963,"C-121_1","73"
"15",1964,"C-121_1","71"
"16",1965,"C-121_1","71"
"17",1966,"C-121_1","69"
"18",1967,"C-121_1","66"
"19",1968,"C-121_1","57"
"20",1969,"C-121_1","55"
"21",1970,"C-121_1","50"
"22",1971,"C-121_1","47"
"23",1972,"C-121_1","37"
"24",1973,"C-121_1","8"
"25",1974,"C-121_1","7"
"26",1975,"C-121_1","0"
"27",1976,"C-121_1","0"
"28",1977,"C-121_1","0"
"29",1978,"C-121_1","0"
"30",1979,"C-121_1","0"
"31",1980,"C-121_1","0"
"32",1981,"C-121_1","0"
"33",1982,"C-121_1","0"
"34",1983,"C-121_1","0"
"35",1984,"C-121_1","0"
"36",1985,"C-121_1","0"
"37",1986,"C-121_1","0"
"38",1987,"C-121_1","0"
"39",1988,"C-121_1","0"
"40",1989,"C-121_1","0"
"41",1990,"C-121_1","0"
"42",1991,"C-121_1","0"
"43",1992,"C-121_1","0"
"44",1993,"C-121_1","0"
"45",1994,"C-121_1","0"
"46",1995,"C-121_1","0"
"47",1996,"C-121_1","0"
"48",1997,"C-121_1","0"
"49",1998,"C-121_1","0"
"50",1999,"C-121_1","0"
"51",2000,"C-121_1","0"
"52",2001,"C-121_1","0"
"53",2002,"C-121_1","0"
"54",2003,"C-121_1","0"
"55",2004,"C-121_1","0"
"56",2005,"C-121_1","0"
"57",2006,"C-121_1","0"
"58",2007,"C-121_1","0"
"59",2008,"C-121_1","0"
"60",2009,"C-121_1","0"
"61",2010,"C-121_1","0"
"62",2011,"C-121_1","0"
"63",2012,"C-121_1","0"
"64",2013,"C-121_1","0"
"65",2014,"C-121_1","0"
"66",2015,"C-121_1","0"
"67",2016,"C-121_1","0"
"68",1950,"C-130_1","0"
"69",1951,"C-130_1","0"
"70",1952,"C-130_1","0"
"71",1953,"C-130_1","0"
"72",1954,"C-130_1","0"
"73",1955,"C-130_1","0"
"74",1956,"C-130_1","29"
"75",1957,"C-130_1","112"
"76",1958,"C-130_1","185"
"77",1959,"C-130_1","211"
"78",1960,"C-130_1","253"
"79",1961,"C-130_1","278"
"80",1962,"C-130_1","330"
"81",1963,"C-130_1","405"
"82",1964,"C-130_1","550"
"83",1965,"C-130_1","619"
"84",1966,"C-130_1","617"
"85",1967,"C-130_1","607"
"86",1968,"C-130_1","588"
"87",1969,"C-130_1","572"
"88",1970,"C-130_1","575"
"89",1971,"C-130_1","561"
"90",1972,"C-130_1","554"
"91",1973,"C-130_1","518"
"92",1974,"C-130_1","531"
"93",1975,"C-130_1","561"
"94",1976,"C-130_1","585"
"95",1977,"C-130_1","576"
"96",1978,"C-130_1","572"
"97",1979,"C-130_1","570"
"98",1980,"C-130_1","577"
"99",1981,"C-130_1","580"
"100",1982,"C-130_1","581"
"101",1983,"C-130_1","583"
"102",1984,"C-130_1","583"
"103",1985,"C-130_1","586"
"104",1986,"C-130_1","603"
"105",1987,"C-130_1","598"
"106",1988,"C-130_1","589"
"107",1989,"C-130_1","584"
"108",1990,"C-130_1","568"
"109",1991,"C-130_1","576"
"110",1992,"C-130_1","550"
"111",1993,"C-130_1","519"
"112",1994,"C-130_1","518"
"113",1995,"C-130_1","522"
"114",1996,"C-130_1","529"
"115",1997,"C-130_1","525"
"116",1998,"C-130_1","519"
"117",1999,"C-130_1","522"
"118",2000,"C-130_1","526"
"119",2001,"C-130_1","519"
"120",2002,"C-130_1","521"
"121",2003,"C-130_1","512"
"122",2004,"C-130_1","497"
"123",2005,"C-130_1","480"
"124",2006,"C-130_1","488"
"125",2007,"C-130_1","440"
"126",2008,"C-130_1","418"
"127",2009,"C-130_1","404"
"128",2010,"C-130_1","387"
"129",2011,"C-130_1","367"
"130",2012,"C-130_1","369"
"131",2013,"C-130_1","361"
"132",2014,"C-130_1","361"
"133",2015,"C-130_1","349"
"134",2016,"C-130_1","325"
"135",1950,"C-135_1","0"
"136",1951,"C-135_1","0"
"137",1952,"C-135_1","0"
"138",1953,"C-135_1","0"
"139",1954,"C-135_1","0"
"140",1955,"C-135_1","0"
"141",1956,"C-135_1","0"
"142",1957,"C-135_1","0"
"143",1958,"C-135_1","0"
"144",1959,"C-135_1","0"
"145",1960,"C-135_1","0"
"146",1961,"C-135_1","0"
"147",1962,"C-135_1","40"
"148",1963,"C-135_1","44"
"149",1964,"C-135_1","43"
"150",1965,"C-135_1","43"
"151",1966,"C-135_1","29"
"152",1967,"C-135_1","19"
"153",1968,"C-135_1","17"
"154",1969,"C-135_1","12"
"155",1970,"C-135_1","11"
"156",1971,"C-135_1","10"
"157",1972,"C-135_1","9"
"158",1973,"C-135_1","9"
"159",1974,"C-135_1","12"
"160",1975,"C-135_1","17"
"161",1976,"C-135_1","17"
"162",1977,"C-135_1","15"
"163",1978,"C-135_1","15"
"164",1979,"C-135_1","15"
"165",1980,"C-135_1","15"
"166",1981,"C-135_1","15"
"167",1982,"C-135_1","15"
"168",1983,"C-135_1","14"
"169",1984,"C-135_1","14"
"170",1985,"C-135_1","14"
"171",1986,"C-135_1","14"
"172",1987,"C-135_1","14"
"173",1988,"C-135_1","13"
"174",1989,"C-135_1","13"
"175",1990,"C-135_1","12"
"176",1991,"C-135_1","12"
"177",1992,"C-135_1","10"
"178",1993,"C-135_1","11"
"179",1994,"C-135_1","9"
"180",1995,"C-135_1","8"
"181",1996,"C-135_1","7"
"182",1997,"C-135_1","5"
"183",1998,"C-135_1","5"
"184",1999,"C-135_1","5"
"185",2000,"C-135_1","5"
"186",2001,"C-135_1","3"
"187",2002,"C-135_1","3"
"188",2003,"C-135_1","3"
"189",2004,"C-135_1","2"
"190",2005,"C-135_1","1"
"191",2006,"C-135_1","0"
"192",2007,"C-135_1","0"
"193",2008,"C-135_1","0"
"194",2009,"C-135_1","0"
"195",2010,"C-135_1","0"
"196",2011,"C-135_1","0"
"197",2012,"C-135_1","0"
"198",2013,"C-135_1","0"
"199",2014,"C-135_1","0"
"200",2015,"C-135_1","0"
"201",2016,"C-135_1","0"
"202",1950,"DC-130_1","0"
"203",1951,"DC-130_1","0"
"204",1952,"DC-130_1","0"
"205",1953,"DC-130_1","0"
"206",1954,"DC-130_1","0"
"207",1955,"DC-130_1","0"
"208",1956,"DC-130_1","0"
"209",1957,"DC-130_1","0"
"210",1958,"DC-130_1","0"
"211",1959,"DC-130_1","0"
"212",1960,"DC-130_1","0"
"213",1961,"DC-130_1","0"
"214",1962,"DC-130_1","0"
"215",1963,"DC-130_1","0"
"216",1964,"DC-130_1","0"
"217",1965,"DC-130_1","0"
"218",1966,"DC-130_1","0"
"219",1967,"DC-130_1","0"
"220",1968,"DC-130_1","0"
"221",1969,"DC-130_1","12"
"222",1970,"DC-130_1","12"
"223",1971,"DC-130_1","12"
"224",1972,"DC-130_1","7"
"225",1973,"DC-130_1","12"
"226",1974,"DC-130_1","0"
"227",1975,"DC-130_1","0"
"228",1976,"DC-130_1","0"
"229",1977,"DC-130_1","0"
"230",1978,"DC-130_1","0"
"231",1979,"DC-130_1","0"
"232",1980,"DC-130_1","0"
"233",1981,"DC-130_1","0"
"234",1982,"DC-130_1","0"
"235",1983,"DC-130_1","0"
"236",1984,"DC-130_1","0"
"237",1985,"DC-130_1","0"
"238",1986,"DC-130_1","0"
"239",1987,"DC-130_1","0"
"240",1988,"DC-130_1","0"
"241",1989,"DC-130_1","0"
"242",1990,"DC-130_1","0"
"243",1991,"DC-130_1","0"
"244",1992,"DC-130_1","0"
"245",1993,"DC-130_1","0"
"246",1994,"DC-130_1","0"
"247",1995,"DC-130_1","0"
"248",1996,"DC-130_1","0"
"249",1997,"DC-130_1","0"
"250",1998,"DC-130_1","0"
"251",1999,"DC-130_1","0"
"252",2000,"DC-130_1","0"
"253",2001,"DC-130_1","0"
"254",2002,"DC-130_1","0"
"255",2003,"DC-130_1","0"
"256",2004,"DC-130_1","0"
"257",2005,"DC-130_1","0"
"258",2006,"DC-130_1","0"
"259",2007,"DC-130_1","0"
"260",2008,"DC-130_1","0"
"261",2009,"DC-130_1","0"
"262",2010,"DC-130_1","0"
"263",2011,"DC-130_1","0"
"264",2012,"DC-130_1","0"
"265",2013,"DC-130_1","0"
"266",2014,"DC-130_1","0"
"267",2015,"DC-130_1","0"
"268",2016,"DC-130_1","0"
"269",1950,"EC-121_1","0"
"270",1951,"EC-121_1","0"
"271",1952,"EC-121_1","0"
"272",1953,"EC-121_1","0"
"273",1954,"EC-121_1","0"
"274",1955,"EC-121_1","0"
"275",1956,"EC-121_1","0"
"276",1957,"EC-121_1","0"
"277",1958,"EC-121_1","0"
"278",1959,"EC-121_1","0"
"279",1960,"EC-121_1","0"
"280",1961,"EC-121_1","0"
"281",1962,"EC-121_1","1"
"282",1963,"EC-121_1","0"
"283",1964,"EC-121_1","0"
"284",1965,"EC-121_1","0"
"285",1966,"EC-121_1","0"
"286",1967,"EC-121_1","0"
"287",1968,"EC-121_1","0"
"288",1969,"EC-121_1","0"
"289",1970,"EC-121_1","0"
"290",1971,"EC-121_1","0"
"291",1972,"EC-121_1","0"
"292",1973,"EC-121_1","0"
"293",1974,"EC-121_1","0"
"294",1975,"EC-121_1","0"
"295",1976,"EC-121_1","0"
"296",1977,"EC-121_1","0"
"297",1978,"EC-121_1","0"
"298",1979,"EC-121_1","0"
"299",1980,"EC-121_1","0"
"300",1981,"EC-121_1","0"
"301",1982,"EC-121_1","0"
"302",1983,"EC-121_1","0"
"303",1984,"EC-121_1","0"
"304",1985,"EC-121_1","0"
"305",1986,"EC-121_1","0"
"306",1987,"EC-121_1","0"
"307",1988,"EC-121_1","0"
"308",1989,"EC-121_1","0"
"309",1990,"EC-121_1","0"
"310",1991,"EC-121_1","0"
"311",1992,"EC-121_1","0"
"312",1993,"EC-121_1","0"
"313",1994,"EC-121_1","0"
"314",1995,"EC-121_1","0"
"315",1996,"EC-121_1","0"
"316",1997,"EC-121_1","0"
"317",1998,"EC-121_1","0"
"318",1999,"EC-121_1","0"
"319",2000,"EC-121_1","0"
"320",2001,"EC-121_1","0"
"321",2002,"EC-121_1","0"
"322",2003,"EC-121_1","0"
"323",2004,"EC-121_1","0"
"324",2005,"EC-121_1","0"
"325",2006,"EC-121_1","0"
"326",2007,"EC-121_1","0"
"327",2008,"EC-121_1","0"
"328",2009,"EC-121_1","0"
"329",2010,"EC-121_1","0"
"330",2011,"EC-121_1","0"
"331",2012,"EC-121_1","0"
"332",2013,"EC-121_1","0"
"333",2014,"EC-121_1","0"
"334",2015,"EC-121_1","0"
"335",2016,"EC-121_1","0"
"336",1950,"MC-130_1","0"
"337",1951,"MC-130_1","0"
"338",1952,"MC-130_1","0"
"339",1953,"MC-130_1","0"
"340",1954,"MC-130_1","0"
"341",1955,"MC-130_1","0"
"342",1956,"MC-130_1","0"
"343",1957,"MC-130_1","0"
"344",1958,"MC-130_1","0"
"345",1959,"MC-130_1","0"
"346",1960,"MC-130_1","0"
"347",1961,"MC-130_1","0"
"348",1962,"MC-130_1","0"
"349",1963,"MC-130_1","0"
"350",1964,"MC-130_1","0"
"351",1965,"MC-130_1","0"
"352",1966,"MC-130_1","1"
"353",1967,"MC-130_1","1"
"354",1968,"MC-130_1","0"
"355",1969,"MC-130_1","0"
"356",1970,"MC-130_1","0"
"357",1971,"MC-130_1","0"
"358",1972,"MC-130_1","0"
"359",1973,"MC-130_1","0"
"360",1974,"MC-130_1","0"
"361",1975,"MC-130_1","0"
"362",1976,"MC-130_1","0"
"363",1977,"MC-130_1","0"
"364",1978,"MC-130_1","0"
"365",1979,"MC-130_1","0"
"366",1980,"MC-130_1","0"
"367",1981,"MC-130_1","0"
"368",1982,"MC-130_1","0"
"369",1983,"MC-130_1","0"
"370",1984,"MC-130_1","0"
"371",1985,"MC-130_1","0"
"372",1986,"MC-130_1","0"
"373",1987,"MC-130_1","0"
"374",1988,"MC-130_1","0"
"375",1989,"MC-130_1","0"
"376",1990,"MC-130_1","0"
"377",1991,"MC-130_1","0"
"378",1992,"MC-130_1","0"
"379",1993,"MC-130_1","0"
"380",1994,"MC-130_1","0"
"381",1995,"MC-130_1","0"
"382",1996,"MC-130_1","0"
"383",1997,"MC-130_1","0"
"384",1998,"MC-130_1","0"
"385",1999,"MC-130_1","0"
"386",2000,"MC-130_1","0"
"387",2001,"MC-130_1","0"
"388",2002,"MC-130_1","0"
"389",2003,"MC-130_1","0"
"390",2004,"MC-130_1","0"
"391",2005,"MC-130_1","0"
"392",2006,"MC-130_1","0"
"393",2007,"MC-130_1","0"
"394",2008,"MC-130_1","0"
"395",2009,"MC-130_1","0"
"396",2010,"MC-130_1","0"
"397",2011,"MC-130_1","0"
"398",2012,"MC-130_1","0"
"399",2013,"MC-130_1","0"
"400",2014,"MC-130_1","0"
"401",2015,"MC-130_1","0"
"402",2016,"MC-130_1","0"
"403",1950,"RC-130_1","0"
"404",1951,"RC-130_1","0"
"405",1952,"RC-130_1","0"
"406",1953,"RC-130_1","0"
"407",1954,"RC-130_1","0"
"408",1955,"RC-130_1","0"
"409",1956,"RC-130_1","0"
"410",1957,"RC-130_1","0"
"411",1958,"RC-130_1","0"
"412",1959,"RC-130_1","0"
"413",1960,"RC-130_1","0"
"414",1961,"RC-130_1","0"
"415",1962,"RC-130_1","0"
"416",1963,"RC-130_1","0"
"417",1964,"RC-130_1","0"
"418",1965,"RC-130_1","0"
"419",1966,"RC-130_1","0"
"420",1967,"RC-130_1","0"
"421",1968,"RC-130_1","0"
"422",1969,"RC-130_1","0"
"423",1970,"RC-130_1","0"
"424",1971,"RC-130_1","0"
"425",1972,"RC-130_1","0"
"426",1973,"RC-130_1","0"
"427",1974,"RC-130_1","0"
"428",1975,"RC-130_1","0"
"429",1976,"RC-130_1","0"
"430",1977,"RC-130_1","1"
"431",1978,"RC-130_1","0"
"432",1979,"RC-130_1","0"
"433",1980,"RC-130_1","0"
"434",1981,"RC-130_1","0"
"435",1982,"RC-130_1","0"
"436",1983,"RC-130_1","0"
"437",1984,"RC-130_1","0"
"438",1985,"RC-130_1","0"
"439",1986,"RC-130_1","0"
"440",1987,"RC-130_1","0"
"441",1988,"RC-130_1","0"
"442",1989,"RC-130_1","0"
"443",1990,"RC-130_1","0"
"444",1991,"RC-130_1","0"
"445",1992,"RC-130_1","0"
"446",1993,"RC-130_1","0"
"447",1994,"RC-130_1","0"
"448",1995,"RC-130_1","0"
"449",1996,"RC-130_1","0"
"450",1997,"RC-130_1","0"
"451",1998,"RC-130_1","0"
"452",1999,"RC-130_1","0"
"453",2000,"RC-130_1","0"
"454",2001,"RC-130_1","0"
"455",2002,"RC-130_1","0"
"456",2003,"RC-130_1","0"
"457",2004,"RC-130_1","0"
"458",2005,"RC-130_1","0"
"459",2006,"RC-130_1","0"
"460",2007,"RC-130_1","0"
"461",2008,"RC-130_1","0"
"462",2009,"RC-130_1","0"
"463",2010,"RC-130_1","0"
"464",2011,"RC-130_1","0"
"465",2012,"RC-130_1","0"
"466",2013,"RC-130_1","0"
"467",2014,"RC-130_1","0"
"468",2015,"RC-130_1","0"
"469",2016,"RC-130_1","0"
"470",1950,"NT-29_1","0"
"471",1951,"NT-29_1","0"
"472",1952,"NT-29_1","0"
"473",1953,"NT-29_1","0"
"474",1954,"NT-29_1","0"
"475",1955,"NT-29_1","0"
"476",1956,"NT-29_1","0"
"477",1957,"NT-29_1","0"
"478",1958,"NT-29_1","0"
"479",1959,"NT-29_1","0"
"480",1960,"NT-29_1","0"
"481",1961,"NT-29_1","0"
"482",1962,"NT-29_1","0"
"483",1963,"NT-29_1","0"
"484",1964,"NT-29_1","0"
"485",1965,"NT-29_1","0"
"486",1966,"NT-29_1","0"
"487",1967,"NT-29_1","0"
"488",1968,"NT-29_1","0"
"489",1969,"NT-29_1","0"
"490",1970,"NT-29_1","2"
"491",1971,"NT-29_1","0"
"492",1972,"NT-29_1","0"
"493",1973,"NT-29_1","0"
"494",1974,"NT-29_1","0"
"495",1975,"NT-29_1","0"
"496",1976,"NT-29_1","0"
"497",1977,"NT-29_1","0"
"498",1978,"NT-29_1","0"
"499",1979,"NT-29_1","0"
"500",1980,"NT-29_1","0"
"501",1981,"NT-29_1","0"
"502",1982,"NT-29_1","0"
"503",1983,"NT-29_1","0"
"504",1984,"NT-29_1","0"
"505",1985,"NT-29_1","0"
"506",1986,"NT-29_1","0"
"507",1987,"NT-29_1","0"
"508",1988,"NT-29_1","0"
"509",1989,"NT-29_1","0"
"510",1990,"NT-29_1","0"
"511",1991,"NT-29_1","0"
"512",1992,"NT-29_1","0"
"513",1993,"NT-29_1","0"
"514",1994,"NT-29_1","0"
"515",1995,"NT-29_1","0"
"516",1996,"NT-29_1","0"
"517",1997,"NT-29_1","0"
"518",1998,"NT-29_1","0"
"519",1999,"NT-29_1","0"
"520",2000,"NT-29_1","0"
"521",2001,"NT-29_1","0"
"522",2002,"NT-29_1","0"
"523",2003,"NT-29_1","0"
"524",2004,"NT-29_1","0"
"525",2005,"NT-29_1","0"
"526",2006,"NT-29_1","0"
"527",2007,"NT-29_1","0"
"528",2008,"NT-29_1","0"
"529",2009,"NT-29_1","0"
"530",2010,"NT-29_1","0"
"531",2011,"NT-29_1","0"
"532",2012,"NT-29_1","0"
"533",2013,"NT-29_1","0"
"534",2014,"NT-29_1","0"
"535",2015,"NT-29_1","0"
"536",2016,"NT-29_1","0"
"537",1950,"T-39_1","0"
"538",1951,"T-39_1","0"
"539",1952,"T-39_1","0"
"540",1953,"T-39_1","0"
"541",1954,"T-39_1","0"
"542",1955,"T-39_1","0"
"543",1956,"T-39_1","0"
"544",1957,"T-39_1","0"
"545",1958,"T-39_1","0"
"546",1959,"T-39_1","0"
"547",1960,"T-39_1","0"
"548",1961,"T-39_1","11"
"549",1962,"T-39_1","68"
"550",1963,"T-39_1","128"
"551",1964,"T-39_1","146"
"552",1965,"T-39_1","145"
"553",1966,"T-39_1","145"
"554",1967,"T-39_1","144"
"555",1968,"T-39_1","145"
"556",1969,"T-39_1","144"
"557",1970,"T-39_1","142"
"558",1971,"T-39_1","142"
"559",1972,"T-39_1","141"
"560",1973,"T-39_1","141"
"561",1974,"T-39_1","139"
"562",1975,"T-39_1","0"
"563",1976,"T-39_1","0"
"564",1977,"T-39_1","0"
"565",1978,"T-39_1","0"
"566",1979,"T-39_1","0"
"567",1980,"T-39_1","0"
"568",1981,"T-39_1","0"
"569",1982,"T-39_1","0"
"570",1983,"T-39_1","0"
"571",1984,"T-39_1","0"
"572",1985,"T-39_1","0"
"573",1986,"T-39_1","0"
"574",1987,"T-39_1","0"
"575",1988,"T-39_1","0"
"576",1989,"T-39_1","0"
"577",1990,"T-39_1","0"
"578",1991,"T-39_1","0"
"579",1992,"T-39_1","0"
"580",1993,"T-39_1","0"
"581",1994,"T-39_1","0"
"582",1995,"T-39_1","0"
"583",1996,"T-39_1","0"
"584",1997,"T-39_1","0"
"585",1998,"T-39_1","0"
"586",1999,"T-39_1","0"
"587",2000,"T-39_1","0"
"588",2001,"T-39_1","0"
"589",2002,"T-39_1","0"
"590",2003,"T-39_1","0"
"591",2004,"T-39_1","0"
"592",2005,"T-39_1","0"
"593",2006,"T-39_1","0"
"594",2007,"T-39_1","0"
"595",2008,"T-39_1","0"
"596",2009,"T-39_1","0"
"597",2010,"T-39_1","0"
"598",2011,"T-39_1","0"
"599",2012,"T-39_1","0"
"600",2013,"T-39_1","0"
"601",2014,"T-39_1","0"
"602",2015,"T-39_1","0"
"603",2016,"T-39_1","0"
"604",1950,"TC-130_1","0"
"605",1951,"TC-130_1","0"
"606",1952,"TC-130_1","0"
"607",1953,"TC-130_1","0"
"608",1954,"TC-130_1","0"
"609",1955,"TC-130_1","0"
"610",1956,"TC-130_1","0"
"611",1957,"TC-130_1","0"
"612",1958,"TC-130_1","0"
"613",1959,"TC-130_1","0"
"614",1960,"TC-130_1","0"
"615",1961,"TC-130_1","0"
"616",1962,"TC-130_1","0"
"617",1963,"TC-130_1","0"
"618",1964,"TC-130_1","0"
"619",1965,"TC-130_1","0"
"620",1966,"TC-130_1","0"
"621",1967,"TC-130_1","0"
"622",1968,"TC-130_1","0"
"623",1969,"TC-130_1","0"
"624",1970,"TC-130_1","0"
"625",1971,"TC-130_1","0"
"626",1972,"TC-130_1","0"
"627",1973,"TC-130_1","0"
"628",1974,"TC-130_1","0"
"629",1975,"TC-130_1","0"
"630",1976,"TC-130_1","0"
"631",1977,"TC-130_1","0"
"632",1978,"TC-130_1","0"
"633",1979,"TC-130_1","0"
"634",1980,"TC-130_1","0"
"635",1981,"TC-130_1","0"
"636",1982,"TC-130_1","0"
"637",1983,"TC-130_1","0"
"638",1984,"TC-130_1","0"
"639",1985,"TC-130_1","0"
"640",1986,"TC-130_1","0"
"641",1987,"TC-130_1","0"
"642",1988,"TC-130_1","0"
"643",1989,"TC-130_1","0"
"644",1990,"TC-130_1","0"
"645",1991,"TC-130_1","0"
"646",1992,"TC-130_1","0"
"647",1993,"TC-130_1","0"
"648",1994,"TC-130_1","0"
"649",1995,"TC-130_1","0"
"650",1996,"TC-130_1","0"
"651",1997,"TC-130_1","0"
"652",1998,"TC-130_1","0"
"653",1999,"TC-130_1","0"
"654",2000,"TC-130_1","0"
"655",2001,"TC-130_1","0"
"656",2002,"TC-130_1","1"
"657",2003,"TC-130_1","1"
"658",2004,"TC-130_1","0"
"659",2005,"TC-130_1","0"
"660",2006,"TC-130_1","0"
"661",2007,"TC-130_1","0"
"662",2008,"TC-130_1","0"
"663",2009,"TC-130_1","0"
"664",2010,"TC-130_1","0"
"665",2011,"TC-130_1","0"
"666",2012,"TC-130_1","0"
"667",2013,"TC-130_1","0"
"668",2014,"TC-130_1","0"
"669",2015,"TC-130_1","0"
"670",2016,"TC-130_1","0"
"671",1950,"TC-135_1","0"
"672",1951,"TC-135_1","0"
"673",1952,"TC-135_1","0"
"674",1953,"TC-135_1","0"
"675",1954,"TC-135_1","0"
"676",1955,"TC-135_1","0"
"677",1956,"TC-135_1","0"
"678",1957,"TC-135_1","0"
"679",1958,"TC-135_1","0"
"680",1959,"TC-135_1","0"
"681",1960,"TC-135_1","0"
"682",1961,"TC-135_1","0"
"683",1962,"TC-135_1","0"
"684",1963,"TC-135_1","0"
"685",1964,"TC-135_1","0"
"686",1965,"TC-135_1","0"
"687",1966,"TC-135_1","0"
"688",1967,"TC-135_1","0"
"689",1968,"TC-135_1","0"
"690",1969,"TC-135_1","0"
"691",1970,"TC-135_1","0"
"692",1971,"TC-135_1","0"
"693",1972,"TC-135_1","0"
"694",1973,"TC-135_1","0"
"695",1974,"TC-135_1","0"
"696",1975,"TC-135_1","0"
"697",1976,"TC-135_1","0"
"698",1977,"TC-135_1","0"
"699",1978,"TC-135_1","0"
"700",1979,"TC-135_1","0"
"701",1980,"TC-135_1","0"
"702",1981,"TC-135_1","0"
"703",1982,"TC-135_1","0"
"704",1983,"TC-135_1","0"
"705",1984,"TC-135_1","0"
"706",1985,"TC-135_1","1"
"707",1986,"TC-135_1","1"
"708",1987,"TC-135_1","1"
"709",1988,"TC-135_1","0"
"710",1989,"TC-135_1","0"
"711",1990,"TC-135_1","0"
"712",1991,"TC-135_1","0"
"713",1992,"TC-135_1","0"
"714",1993,"TC-135_1","3"
"715",1994,"TC-135_1","3"
"716",1995,"TC-135_1","2"
"717",1996,"TC-135_1","2"
"718",1997,"TC-135_1","2"
"719",1998,"TC-135_1","2"
"720",1999,"TC-135_1","2"
"721",2000,"TC-135_1","2"
"722",2001,"TC-135_1","2"
"723",2002,"TC-135_1","2"
"724",2003,"TC-135_1","2"
"725",2004,"TC-135_1","3"
"726",2005,"TC-135_1","3"
"727",2006,"TC-135_1","3"
"728",2007,"TC-135_1","3"
"729",2008,"TC-135_1","0"
"730",2009,"TC-135_1","0"
"731",2010,"TC-135_1","0"
"732",2011,"TC-135_1","0"
"733",2012,"TC-135_1","0"
"734",2013,"TC-135_1","0"
"735",2014,"TC-135_1","0"
"736",2015,"TC-135_1","0"
"737",2016,"TC-135_1","0"
