"","aircraft","engine_type","engine_number","type_count","record_count","takeoff_weight","speed","range","ceiling","climb_rate","thrust_weight_aircraft","engine","engine_company","thrust","pressure_ratio","engine_weight","thrust_weight_engine"
"1","319A","Turbofan",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","A-1","Radial",1,1,1,25000,322,1316,28500,2850,NA,NA,NA,NA,NA,NA,NA
"3","A-10","Turbofan",2,1,1,51000,518,800,37000,6000,0.36,"TF34-GE-100","GE",9065,20,1443,6.28
"4","A-26","Radial",2,1,1,35000,355,1400,22000,1250,NA,NA,NA,NA,NA,NA,NA
"5","A-3","Turbojet",2,1,1,82000,610,2100,41000,1000,0.51,"J57-P-10","PW",17200,11.5,5175,3.32
"6","A-37","Turbojet",2,1,1,14000,507,920,41765,6990,0.47,"J85-GE-17A","GE",3100,8.3,421,7.36
"7","A-4","Turbojet",1,1,1,24500,673,2000,42250,8440,0.51,"J52-P8A","PW",11200,14.6,2318,4.83
"8","A-7","Turbofan",1,1,1,41998,690,1231,42000,1500,0.5,"TF41-A-2","Allison",14250,20,2949.241071,4.83
"9","A-9","Turbofan",2,1,1,41000,520,1231,42000,5000,0.5,"YF102-LD-100","Lycoming",7500,20,1336,5.61
"10","AC-119","Radial",2,1,1,62000,210,1930,23300,1010,NA,NA,NA,NA,NA,NA,NA
"11","AC-123","Turboprop",2,1,1,60000,228,1035,21100,1220,NA,NA,NA,NA,NA,NA,NA
"12","AC-130","Turboprop",4,1,1,155000,300,1300,30000,1830,NA,NA,NA,NA,NA,NA,NA
"13","AC-47","Radial",2,1,1,33000,230,2175,24450,1052.631579,NA,NA,NA,NA,NA,NA,NA
"14","AMST","Turbofan",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","AT-33","Turbojet",1,1,1,15061,600,1275,48000,4870,0.549910341,"J33-A-35","Allison",4600,4.1,1820,2.53
"16","AT-38","Turbojet",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","B-1","Turbofan",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","B-17","Radial",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","B-2","Turbofan",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","B-25","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","B-26","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","B-29","Radial",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","B-36",NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","B-45","Turbojet",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","B-47","Turbojet",6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","B-50","Radial",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","B-52","Turbofan",8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","B-57","Turbojet",2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","B-58","Turbojet",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","B-66","Turbojet",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","C-117","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","C-118","Radial",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","C-119","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","C-12","Turboprop",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","C-121","Radial",4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","C-122","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","C-123",NA,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","C-124","Radial",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","C-125","Radial",3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","C-129","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","C-130","Turboprop",4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","C-131","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","C-133","Turboprop",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","C-134","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","C-135","Turbofan",4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","C-137","Turbofan",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","C-140","Turbofan",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","C-141","Turbofan",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","C-17","Turbofan",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","C-18","Turbofan",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","C-20","Turbofan",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","C-21","Turbofan",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","C-22","Turbofan",3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","C-23","Turboprop",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","C-26","Turboprop",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","C-27","Turboprop",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","C-32","Turbofan",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","C-37","Turbofan",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","C-38","Turbofan",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","C-40","Turbofan",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","C-41","Turboprop",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","C-45","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","C-46","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","C-47","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","C-5","Turbofan",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","C-53","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","C-54","Radial",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","C-6","Turboprop",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","C-64","Radial",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","C-7","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","C-74","Radial",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","C-8","Turboprop",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","C-82","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","C-9","Turbofan",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","C-97","Radial",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","C-99","Radial",6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","C/AC/VC-47","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","C/T-43","Turbofan",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","CB-17","Radial",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","CB-25","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","CB-26","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","CH-47","Turboshaft",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","CT-29","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","CT-39","Turbojet",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","CT/T-39","Turbojet",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","CV-22","Turboshaft",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","DC-130","Turboprop",4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","DT-33","Turbojet",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","E-11","Turbofan",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","E-3","Turbofan",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","E-4","Turbofan",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","E-47","Turbojet",6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","E-8","Turbofan",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","E-9","Turboprop",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","EA-1","Radial",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","EB-47","Turbojet",6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","EB-57","Turbojet",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","EB-66","Turbojet",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","EC-121","Radial",4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","EC-130","Turboprop",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","EC-135","Turbofan",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","EC-137","Turbofan",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","EC-18","Turbofan",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","EC-47","Turbojet",6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","EC-54","Radial",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","EF-111","Turbofan",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","ER-47","Turbojet",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","ET-29","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","F-100","Turbojet",1,1,1,34832,864,1995,50000,22400,0.55,"J57-P-21","PW",17200,11.5,5175,3.32
"110","F-101","Turbojet",2,1,1,52400,1134,1520,58400,49200,0.74,"J57-P-55","PW",17200,11.5,5175,3.32
"111","F-102","Turbojet",1,1,1,31500,810,1350,53400,13000,0.7,"J57-P-25","PW",17200,11.5,5175,3.32
"112","F-104","Turbojet",1,1,1,29027,1528,1250,50000,48000,0.54,"J79","GE",17835,13.5,3850,4.63
"113","F-105","Turbojet",1,1,1,52546,1372,2210,48500,38500,0.74,"J75-P-19W","PW",17500,12.5,5100,3.43
"114","F-106","Turbojet",1,1,1,34510,1525,1802,57000,29000,0.71,"J75-17","PW",17500,12.5,5100,3.43
"115","F-107","Turbojet",1,1,1,41537,1295,2428,53200,39900,0.62,"YJ75-P-9","PW",17500,12.5,5100,3.43
"116","F-11","Turbojet",1,1,1,23459,727,1275,49000,16300,0.5,"J65-W-18","Wright",7239,7.1,2776,2.61
"117","F-111","Turbofan",2,1,1,1e+05,1650,3632,57000,25890,0.61,"TF30-P-100","PW",25100,19.8,3985,6.3
"118","F-117","Turbofan",2,1,1,1e+05,617,1070,45000,2820,0.4,"F404-F1D2","GE",17700,26,2282,7.76
"119","F-15","Turbofan",2,1,1,68000,1918,2400,50000,50000,1.07,"Combo","PW",25566.66667,27.33333333,3432.333333,7.44
"120","F-16","Turbofan",1,1,1,42300,1535,2622,50000,50000,1.095,"Combo","GE/PW",27357.5,29.225,3719.5,7.36
"121","F-22A","Turbofan",2,1,1,60000,1500,1850,50000,68897,1.08,"F119-PW-100","PW",35000,30,3900,8.97
"122","F-24","Radial",1,1,1,10700,255,1115,25530,1700,NA,NA,NA,NA,NA,NA,NA
"123","F-3","Turbojet",1,1,1,33900,716,1370,35050,12795,0.697960536,"J71-A-2E","Allison",14000,8.75,4869,2.88
"124","F-35A","Turbofan",1,1,1,70000,1200,1200,50000,50000,0.87,"F135-PW-100","PW",43000,28,3750,11.47
"125","F-4","Turbojet",2,1,1,36831,1473,2597,60000,41300,0.86,"J79-GE-17A","GE",17835,13.5,3850,4.63
"126","F-47","Radial",1,1,1,17500,433,800,43000,3180,NA,NA,NA,NA,NA,NA,NA
"127","F-5","Turbojet",2,1,1,24722,1060,870,51800,34400,0.52,"J85-GE-21B","GE",3100,8.3,421,7.36
"128","F-51","Radial",1,1,1,12100,NA,1650,41900,3200,NA,NA,NA,NA,NA,NA,NA
"129","F-6","Turbojet",1,1,1,27116,722,700,55000,18300,0.71,"J57-P-8A/B","PW",17200,11.5,5175,3.32
"130","F-8","Turbojet",1,1,1,34000,1225,1736,58000,19000,0.62,"J57-P-20A","PW",17200,11.5,5175,3.32
"131","F-80","Turbojet",1,1,1,16856,580,1200,46800,4580,0.364,"J33-A-35","Allison",4600,4.1,1820,2.53
"132","F-82","Turbojet",2,1,1,25591,580,2240,38900,3200,NA,NA,NA,NA,NA,NA,NA
"133","F-84","Turbojet",1,1,1,23340,622,1485,43240,3765,0.31,"J35-A-29","Allison",7400,5,2930,2.53
"134","F-86","Turbojet",1,1,1,18152,685,1525,49000,9000,0.42,"J47-GE-27","GE",6970,5.35,2554,2.73
"135","F-89","Turbojet",2,1,1,42241,627,1600,45000,7440,0.29,"J35-A-35","Allison",7400,5,2930,2.53
"136","F-94","Turbojet",1,1,1,24184,630,930,42750,7980,0.48,"J48-P-5","PW",7250,4.9,2080,3.49
"137","FB-111","Turbofan",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","FH-1","Turbojet",2,1,1,12035,479,695,41100,4230,0.32,"Westinghouse J30","Westinghouse",1430.92,3,830,1.724
"139","H-12","Radial",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","H-16","Turboshaft",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","H-18","Radial",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","H-23","Radial",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","H-24","Radial",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","H-32","Ramjet",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","H-37","Radial",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","H-39","Turboshaft",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","H-40","Turboshaft",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","H-5","Radial",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","H/HH-43","Turboshaft",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","H/HH-60","Turboshaft",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","H/HH/CH-21","Radial",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","H/HH/CH-3","Turboshaft",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","H/HH/CH-53","Turboshaft",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","H/HH/CH/SH/UH-34","Radial",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","H/HH/UH-1","Turboshaft",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","H/HH/UH-19","Radial",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","H/UH-13","Radial",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","HC-130","Turboprop",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
