"","aircraft","engine_type","engine_number","type_count","record_count","takeoff_weight","speed","range","ceiling","climb_rate","thrust_weight_aircraft","engine","engine_company","thrust","pressure_ratio","engine_weight","thrust_weight_engine"
"159","HOK-1","Turboshaft",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","HSS-2","Turboshaft",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","HUL-1","Radial",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","JD-1","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","JRB-57","Turbojet",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","KB-29","Radial",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","KB-50","Radial",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","KC-10","Turbofan",3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","KC-119","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","KC-135","Turbofan",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","KC-97",NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","LC-130","Turboprop",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","LT-6","Radial",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","M/RQ-1","Turboprop",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","MC-12","Turboprop",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","MC-130","Turboprop",4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","MC/WC-130","Turboprop",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","MiG-15","Turbojet",1,1,1,13458,669,1362,15500,10080,0.54,"Klimov VK-1","Klimov",5955,5.35,1922,3.1
"177","MQ-9","Turboprop",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","N-156","Turbojet",2,1,1,24722,1060,870,51800,34400,0.52,"J85-GE-21B","GE",3100,8.3,421,7.36
"179","NA-37","Turbojet",2,1,1,14000,507,920,41765,6990,0.47,"J85-GE-17A","GE",3100,8.3,421,7.36
"180","NC-130","Turboprop",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","NC-135","Turbofan",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","NC-141","Turbofan",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","NKC-135","Turbofan",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","NT-29","Radial",NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","NT/T-39","Turbojet",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","OC-135","Turbofan",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","OC/WC-135","Turbofan",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","OH-13","Radial",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","OV-10","Turboprop",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","P2V-5","Turbojet",6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","R-47","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","RB-17","Radial",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","RB-25","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","RB-26","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","RB-29","Radial",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","RB-36","Turbojet",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","RB-37","Radial",6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","RB-45","Turbojet",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","RB-47","Turbojet",6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","RB-50","Radial",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","RB-52","Turbofan",8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","RB-57","Turbojet",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","RB-66","Turbojet",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","RC-121","Radial",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","RC-130","Turboprop",4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","RC-135","Turbofan",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","RC-45","Turbojet",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","RC-47","Turbojet",6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","RC-54","Radial",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","RF-101","Turbojet",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","RF-104","Turbojet",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","RF-111","Turbofan",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","RF-4","Turbojet",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","RF-51","Radial",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","RF-80","Turbojet",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","RF-84","Turbojet",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","RF-86","Turbojet",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","RQ-4","Turbofan",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","RT-33","Radial",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","S-2","Radial",2,1,1,26147,280,1350,22000,50000,NA,NA,NA,NA,NA,NA,NA
"221","SR-71","Turbojet",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","T-1","Turbofan",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","T-11","Radial",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","T-28","Radial",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","T-29","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","T-3","Radial",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","T-33","Turbojet",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","T-34","Turboprop",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","T-35","Radial",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","T-37","Turbojet",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","T-38","Turbojet",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","T-39","Turbojet",2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","T-41","Radial",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","T-46","Turbofan",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","T-51","Radial",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","T-53","Radial",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","T-6","Turboprop",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","T-7","Turboprop",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","TB-17","Radial",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","TB-25","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","TB-26","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","TB-29","Radial",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","TB-45","Turbojet",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","TB-47","Turbojet",6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","TB-50","Radial",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","TB-57","Turbojet",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","TB-58","Turbojet",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","TC-121","Radial",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","TC-130","Turboprop",4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","TC-135","Turbofan",4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","TC-18","Turbofan",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","TC-45","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","TC-46","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","TC-47","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","TC-54","Radial",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","TE-8","Turbofan",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","TF-101","Turbojet",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","TF-102","Turbojet",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","TF-15","Turbofan",2,1,1,68000,1918,2400,50000,50000,1.07,"F100-PW-220","PW",23770,25,3234,7.35
"260","TF-47","Radial",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","TF-51","Radial",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","TF-80","Turbojet",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","TF-84","Turbojet",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","TF-86","Turbojet",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","TG-10",NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","TG-11",NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","TG-14",NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","TG-3",NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","TG-4",NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","TG-7",NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","TG-9",NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","TH-1","Turboshaft",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","TH-5","Radial",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","TR-1","Turbofan",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","TRF-51","Radial",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","TU-2","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","TV-2","Turbojet",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","U-2","Turbofan",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","UV-18","Turboprop",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","VB-17","Radial",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281","VB-25","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","VB-26","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","VC-117","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","VC-118","Radial",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285","VC-121","Radial",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286","VC-123","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287","VC-131","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","VC-135","Turbofan",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289","VC-137","Turbofan",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290","VC-140","Turbofan",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291","VC-25","Turbofan",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292","VC-47","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293","VC-53","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294","VC-54","Radial",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295","VC-6","Turboprop",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296","VC-9","Radial",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297","VC-97","Radial",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298","VT-29","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299","WB-26","Radial",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300","WB-29","Radial",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301","WB-47","Turbojet",6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302","WB-50","Radial",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303","WB-57","Turbojet",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304","WB-66","Turbojet",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305","WC-130","Turboprop",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306","WC-135","Turbofan",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307","WT-33","Radial",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308","WV-2","Radial",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309","XB-70","Turbojet",6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310","XC-142","Turboprop",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311","XC-8","Radial",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312","XF-4","Turbojet",2,1,1,36831,1473,2597,60000,41300,0.86,"J79-GE-17A","GE",17835,13.5,3850,4.63
"313","XH-40","Turboshaft",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314","YA-37","Turbojet",2,1,1,14000,507,920,41765,6990,0.47,"J85-GE-17A","GE",3100,8.3,421,7.36
"315","YAO-1","Turboshaft",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316","YAT-28","Radial",1,1,1,8500,343,1060,39000,4000,NA,NA,NA,NA,NA,NA,NA
"317","YAT-37","Turbojet",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"318","YF-117","Turbofan",2,1,1,1e+05,617,1070,45000,2820,0.4,"F404-F1D2","GE",17700,26,2282,7.76
"319","YF-15","Turbofan",2,1,1,68000,1918,2400,50000,50000,1.07,"F100-PW-220","PW",23770,25,3234,7.35
"320","YF-16/17","Turbofan",1,1,1,42300,1535,2622,50000,50000,1.095,"F110-GE-100","GE",27000,30,3895,6.93
"321","YF-4","Turbojet",2,1,1,36831,1473,2597,60000,41300,0.86,"J79-GE-17A","GE",17835,13.5,3850,4.63
"322","YF-5","Turbojet",2,1,1,24722,1060,870,51800,34400,0.52,"J85-GE-21B","GE",3100,8.3,421,7.36
"323","YF-84","Turbojet",1,1,1,23340,622,1485,43240,3765,0.31,"J35-A-29","Allison",7400,5,2930,2.53
"324","YH-1","Turboshaft",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"325","YH-16","Turboshaft",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"326","YH-40","Turboshaft",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"327","YH-41","Radial",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"328","YHO-2","Radial",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"329","YKB-29J","Radial",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"330","YOH-6","Turboshaft",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331","YRB-58","Turbojet",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"332","YRF-4","Turbojet",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
